policy,mechanism_stage,status,expected_profit,var_loss,cvar_loss,worst_decile_profit,budget_usage,acreage_usage,cvar_violation,budget_violation,acreage_violation,lower_bound_violation,upper_bound_violation,rotation_violation,contract_violation,acres_Corn,acres_Soybean,acres_Winter Wheat,selected_reversal,cell_id,replication_seed,scenario_sha256,copula_family,marginal_family,kendall_tau,alpha,risk_limit
mean_variance,variance_penalty,optimal,342.42707409573666,-171.91907250474137,-110.58065201827523,110.61287139292305,341.95922222105855,1.0000000000037663,True,False,False,False,False,False,False,0.5727781333381361,0.3035783172383427,0.12364354942728754,False,LHS-01-016,2026071904,8a5c0250e90c56d1cdff7da379cef4e3956a9eac347a643f48e1bfeccf486583,gaussian,gaussian,0.5776689386219479,0.9057495331801046,-116.17576218724008
loss_CVaR,economic_operational_plus_CVaR,optimal,342.00198054061207,-175.8701343432887,-116.17576218723761,116.20711798879898,330.60819993477145,0.9999999999999999,False,False,False,False,False,False,False,0.5133797958947937,0.3629766546785114,0.12364354942669488,False,LHS-01-016,2026071904,8a5c0250e90c56d1cdff7da379cef4e3956a9eac347a643f48e1bfeccf486583,gaussian,gaussian,0.5776689386219479,0.9057495331801046,-116.17576218724008
ranking_proportional_repaired,ranking,repaired,336.93992810894827,-175.17505325859256,-119.96333391341733,119.99233510152139,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-016,2026071905,7e948d9c5825e0ad610d0c7b0f5a520b5a0996d8dc920693d9f1511f9ace21ab,gaussian,gaussian,0.5776689386219479,0.9057495331801046,-116.28307508362964
expected_profit,economic_plus_operational,optimal,345.7807220646502,-171.17980513632125,-110.31535384388613,110.34732425563415,341.9592222198877,1.0,True,False,False,False,False,False,False,0.572778133336532,0.3035783172367731,0.12364354942669488,False,LHS-01-016,2026071905,7e948d9c5825e0ad610d0c7b0f5a520b5a0996d8dc920693d9f1511f9ace21ab,gaussian,gaussian,0.5776689386219479,0.9057495331801046,-116.28307508362964
mean_variance,variance_penalty,optimal,345.7807220756474,-171.17980514205965,-110.31535384783422,110.34732425958317,341.9592222300288,1.0000000000326208,True,False,False,False,False,False,False,0.5727781333504147,0.30357831725040146,0.12364354943180464,False,LHS-01-016,2026071905,7e948d9c5825e0ad610d0c7b0f5a520b5a0996d8dc920693d9f1511f9ace21ab,gaussian,gaussian,0.5776689386219479,0.9057495331801046,-116.28307508362964
loss_CVaR,economic_operational_plus_CVaR,optimal,345.36502799574754,-175.7065813199052,-116.28307508362707,116.31428860681743,330.5230453027625,0.9999999999999999,False,False,False,False,False,False,False,0.5129341934248359,0.3634222571484691,0.12364354942669488,False,LHS-01-016,2026071905,7e948d9c5825e0ad610d0c7b0f5a520b5a0996d8dc920693d9f1511f9ace21ab,gaussian,gaussian,0.5776689386219479,0.9057495331801046,-116.28307508362964
ranking_proportional_repaired,ranking,repaired,336.52369861767346,-186.85382571362723,-124.38586029492004,124.46742086227596,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-017,2026071901,fa6731e3c8e5dd0d86911362e243e9659fd47deda42bbcdf76b56118986fe33a,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.33297210515306
expected_profit,economic_plus_operational,optimal,349.2696351652718,-150.2271799319717,-57.263117218644396,57.38449465822945,388.6474445800188,1.0,True,False,False,False,False,False,False,0.8119897663336518,0.07526649745948259,0.11274373620686558,False,LHS-01-017,2026071901,fa6731e3c8e5dd0d86911362e243e9659fd47deda42bbcdf76b56118986fe33a,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.33297210515306
mean_variance,variance_penalty,optimal,349.2696351652718,-150.2271799319717,-57.263117218644396,57.38449465822945,388.6474445800188,1.0,True,False,False,False,False,False,False,0.8119897663336518,0.07526649745948259,0.11274373620686558,False,LHS-01-017,2026071901,fa6731e3c8e5dd0d86911362e243e9659fd47deda42bbcdf76b56118986fe33a,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.33297210515306
loss_CVaR,economic_operational_plus_CVaR,optimal,348.5264957245729,-166.42244638093933,-84.33297210515458,84.44015126572121,366.1287180127555,0.9999999999999999,False,False,False,False,False,False,False,0.6941523693307041,0.1931038944624302,0.11274373620686558,False,LHS-01-017,2026071901,fa6731e3c8e5dd0d86911362e243e9659fd47deda42bbcdf76b56118986fe33a,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.33297210515306
ranking_proportional_repaired,ranking,repaired,336.6159566796313,-184.95890694553248,-122.8893914259985,122.97043176191065,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-017,2026071902,e592606e50f83476df36d0648eea23a3446d27986ec1d0ecd91565cfea676d30,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-82.54254852021293
expected_profit,economic_plus_operational,optimal,349.62441188250176,-149.3421327045852,-55.27402352861404,55.39684245353125,388.6474445800188,1.0,True,False,False,False,False,False,False,0.8119897663336518,0.07526649745948259,0.11274373620686558,False,LHS-01-017,2026071902,e592606e50f83476df36d0648eea23a3446d27986ec1d0ecd91565cfea676d30,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-82.54254852021293
mean_variance,variance_penalty,optimal,349.6244118853641,-149.3421327065497,-55.274023529804765,55.396842454722965,388.64744458266125,1.0000000000085023,True,False,False,False,False,False,False,0.8119897663372685,0.07526649746303167,0.11274373620820215,False,LHS-01-017,2026071902,e592606e50f83476df36d0648eea23a3446d27986ec1d0ecd91565cfea676d30,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-82.54254852021293
loss_CVaR,economic_operational_plus_CVaR,optimal,348.7942491684911,-164.5650770540553,-82.54254852021438,82.6496402738572,366.15029352436756,1.0,False,False,False,False,False,False,False,0.6942652710136556,0.19299099277947876,0.11274373620686558,False,LHS-01-017,2026071902,e592606e50f83476df36d0648eea23a3446d27986ec1d0ecd91565cfea676d30,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-82.54254852021293
ranking_proportional_repaired,ranking,repaired,337.45111700777187,-188.8300040911439,-125.57087671487861,125.65347025357745,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-017,2026071903,15d93af73ba7804855df5cc85bbbbb1792c6eb6d5e00b02e521e824ed739361d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-86.02284311214504
expected_profit,economic_plus_operational,optimal,350.90863774817166,-154.8814716101364,-59.294195589885206,59.418997997198495,388.6474445800188,1.0,True,False,False,False,False,False,False,0.8119897663336518,0.07526649745948259,0.11274373620686558,False,LHS-01-017,2026071903,15d93af73ba7804855df5cc85bbbbb1792c6eb6d5e00b02e521e824ed739361d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-86.02284311214504
mean_variance,variance_penalty,optimal,350.9086377556213,-154.88147161533047,-59.29419559304007,59.41899800035605,388.64744458688233,1.0000000000220857,True,False,False,False,False,False,False,0.8119897663430531,0.07526649746867597,0.11274373621035651,False,LHS-01-017,2026071903,15d93af73ba7804855df5cc85bbbbb1792c6eb6d5e00b02e521e824ed739361d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-86.02284311214504
loss_CVaR,economic_operational_plus_CVaR,optimal,349.9187542700818,-170.8726160160234,-86.02284311214653,86.13362622428531,365.8331896893346,1.0,False,False,False,False,False,False,False,0.6926059102861152,0.19465035350701929,0.11274373620686558,False,LHS-01-017,2026071903,15d93af73ba7804855df5cc85bbbbb1792c6eb6d5e00b02e521e824ed739361d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-86.02284311214504
ranking_proportional_repaired,ranking,repaired,334.38249287349623,-184.96265301912368,-123.4296609735784,123.51000080390111,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-017,2026071904,644e55854a804deb28eafd25078e1c92ee656d968077a23a0859a453d3f0774d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.57741649474889
expected_profit,economic_plus_operational,optimal,347.78446008593903,-148.91561128683338,-58.319019969781834,58.43730634806876,388.6474445800188,1.0,True,False,False,False,False,False,False,0.8119897663336518,0.07526649745948259,0.11274373620686558,False,LHS-01-017,2026071904,644e55854a804deb28eafd25078e1c92ee656d968077a23a0859a453d3f0774d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.57741649474889
mean_variance,variance_penalty,optimal,347.7844600880212,-148.91561128806708,-58.31901997065802,58.43730634894543,388.64744458195463,1.0000000000062272,True,False,False,False,False,False,False,0.811989766336304,0.07526649746207689,0.11274373620784627,False,LHS-01-017,2026071904,644e55854a804deb28eafd25078e1c92ee656d968077a23a0859a453d3f0774d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.57741649474889
loss_CVaR,economic_operational_plus_CVaR,optimal,346.79640368880166,-165.30304946949235,-84.57741649475035,84.68281497189709,365.8833612145079,1.0,False,False,False,False,False,False,False,0.692868450972527,0.19438781282060733,0.11274373620686558,False,LHS-01-017,2026071904,644e55854a804deb28eafd25078e1c92ee656d968077a23a0859a453d3f0774d,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-84.57741649474889
ranking_proportional_repaired,ranking,repaired,335.6171696708603,-184.0588645462671,-122.76958373265693,122.84960536426425,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-017,2026071905,cc6695e3383f21f161fefe125a27d6b6844f254c5064532f8d5a518c23281697,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-81.58708696755727
expected_profit,economic_plus_operational,optimal,347.53634023774333,-143.06289571280044,-53.75378301170974,53.87038840862211,388.6474445800188,1.0,True,False,False,False,False,False,False,0.8119897663336518,0.07526649745948259,0.11274373620686558,False,LHS-01-017,2026071905,cc6695e3383f21f161fefe125a27d6b6844f254c5064532f8d5a518c23281697,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-81.58708696755727
mean_variance,variance_penalty,optimal,347.5363402502664,-143.06289572160816,-53.753783016955495,53.870388413872504,388.6474445916048,1.0000000000373424,True,False,False,False,False,False,False,0.8119897663494564,0.07526649747510174,0.11274373621278416,False,LHS-01-017,2026071905,cc6695e3383f21f161fefe125a27d6b6844f254c5064532f8d5a518c23281697,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-81.58708696755727
loss_CVaR,economic_operational_plus_CVaR,optimal,347.0192951280956,-162.81136647228672,-81.5870869675588,81.69313649670674,365.644815320898,1.0,False,False,False,False,False,False,False,0.6916201731409732,0.19563609065216114,0.11274373620686558,False,LHS-01-017,2026071905,cc6695e3383f21f161fefe125a27d6b6844f254c5064532f8d5a518c23281697,gaussian,student_t_df5,0.23619270808840165,0.9349849970524777,-81.58708696755727
ranking_proportional_repaired,ranking,repaired,335.90199525779775,-150.9947987312094,-142.5731735313777,142.60769390063305,310.75119901298854,1.0,True,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-018,2026071901,f85eb517e3fc6d044a77825839e129e0743b53cb8dc3acc6d1387219195c63a0,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-155.88033320198377
expected_profit,economic_plus_operational,optimal,368.8288673136094,-165.7057760224982,-157.65739191466216,157.690382363028,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071901,f85eb517e3fc6d044a77825839e129e0743b53cb8dc3acc6d1387219195c63a0,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-155.88033320198377
mean_variance,variance_penalty,optimal,368.82886732116174,-165.70577602592388,-157.6573919178791,157.69038236624579,326.90723022061087,1.0000000000224663,False,False,False,False,False,False,False,0.44349315171211084,0.5408056958389174,0.01570115247143808,True,LHS-01-018,2026071901,f85eb517e3fc6d044a77825839e129e0743b53cb8dc3acc6d1387219195c63a0,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-155.88033320198377
loss_CVaR,economic_operational_plus_CVaR,optimal,368.8288673136094,-165.7057760224982,-157.65739191466216,157.690382363028,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071901,f85eb517e3fc6d044a77825839e129e0743b53cb8dc3acc6d1387219195c63a0,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-155.88033320198377
ranking_proportional_repaired,ranking,repaired,336.3772441173399,-152.14040935026668,-143.32951764811548,143.36563362666,310.75119901298854,1.0,True,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-018,2026071902,99e16141131682a13f8ed437d60ef5018edb74c572ccf922694c8315e4a79476,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.22562642452513
expected_profit,economic_plus_operational,optimal,369.3464409937033,-166.53290313859557,-157.94779276415267,157.98298326161503,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071902,99e16141131682a13f8ed437d60ef5018edb74c572ccf922694c8315e4a79476,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.22562642452513
