cell_id,replications,optimal_replications,selected_reversal_probability,selected_reversal_wilson_low,selected_reversal_wilson_high,selected_reversal_wilson_width,possible_reversal_probability,universal_reversal_probability,pseudo_diversification_probability,expected_profit_mean,expected_profit_mcse,expected_profit_replication_min,expected_profit_replication_max,cvar_loss_mean,cvar_loss_mcse,cvar_loss_replication_min,cvar_loss_replication_max,allocation_Corn_mean,allocation_Corn_mcse,allocation_Corn_replication_min,allocation_Corn_replication_max,allocation_Soybean_mean,allocation_Soybean_mcse,allocation_Soybean_replication_min,allocation_Soybean_replication_max,allocation_Winter Wheat_mean,allocation_Winter Wheat_mcse,allocation_Winter Wheat_replication_min,allocation_Winter Wheat_replication_max,cell_type,copula_family,marginal_family,kendall_tau,alpha,risk_limit_frontier_quantile,budget_to_max_cost_ratio,dominant_crop_cap_share,contract_minimum_share
LHS-01-017,5,5,0,0,0.4344824648,0.4344824648,0,0,0,348.2110396,0.5821247722,346.7964037,349.9187543,-83.81257344,0.7844375383,-86.02284311,-81.58708697,0.6931024349,0.0004976411975,0.6916201731,0.694265271,0.1941538288,0.0004976411975,0.1929909928,0.1956360907,0.1127437362,0,0.1127437362,0.1127437362,lhs,gaussian,student_t_df5,0.2361927081,0.9349849971,0.5967111348,0.9513272228,0.8119897663,0.1127437362
LHS-01-018,5,5,1,0.5655175352,1,0.4344824648,1,1,0,368.5911951,0.7645370791,365.6606653,370.106938,-158.0900366,0.1370883536,-158.4786431,-157.6573919,0.4434931517,0,0.4434931517,0.4434931517,0.5408056958,0,0.5408056958,0.5408056958,0.01570115247,0,0.01570115247,0.01570115247,lhs,gaussian,empirical_resample,0.3704884149,0.976695917,0.1178091345,0.7520987213,0.8546408887,0.01570115247
LHS-01-019,5,5,1,0.5655175352,1,0.4344824648,1,1,0,364.1918728,0.7834407272,361.209771,365.80235,-141.7962131,0.6749880786,-143.3466208,-139.5345571,0.4138273632,0,0.4138273632,0.4138273632,0.5487070885,0,0.5487070885,0.5487070885,0.03746554825,0,0.03746554825,0.03746554825,lhs,gaussian,gaussian,0.3419170559,0.9257280496,0.8779463867,0.734577579,0.7605661673,0.03746554825
LHS-01-020,5,5,1,0.5655175352,1,0.4344824648,1,1,0,352.4386426,0.7292973841,349.7468772,354.1594574,-73.67714018,1.326907624,-76.81412037,-69.00093978,0.451634382,2.775557562e-17,0.451634382,0.451634382,0.4588829208,0,0.4588829208,0.4588829208,0.0894826972,0,0.0894826972,0.0894826972,lhs,gaussian,student_t_df5,0.5472243731,0.949578353,0.7076373189,0.8976334643,0.451634382,0.0894826972
LHS-01-021,5,5,0,0,0.4344824648,0.4344824648,0,0,1,348.2411102,0.5269123797,346.865743,349.668168,-182.8150042,0.4298320522,-184.0280133,-181.7187688,0.6273035638,6.092837526e-05,0.627163375,0.6274722023,0.2663106805,6.092837526e-05,0.266142042,0.2664508693,0.1063857557,0,0.1063857557,0.1063857557,lhs,gaussian,empirical_resample,0.05802298268,0.9003167632,0.7859426902,0.8262969206,0.9774036998,0.1063857557
LHS-01-022,5,5,0,0,0.4344824648,0.4344824648,0,0,0,359.9203773,0.9190673382,356.7430599,362.4549705,24.16301751,2.154647762,17.94095853,30.1305847,0.8284786347,0.0004003576019,0.827258764,0.8295637636,0.1020358046,0.0004003576019,0.1009506757,0.1032556753,0.06948556069,0,0.06948556069,0.06948556069,lhs,gaussian,gaussian,0.5187298941,0.9851058244,0.824434987,0.9845329581,0.89257245,0.06948556069
LHS-01-023,5,5,0,0,0.4344824648,0.4344824648,0,0,0,372.4271023,0.6841554481,370.1217026,374.157494,58.63860959,2.993534022,48.73011311,64.77807455,0.5751323554,0.001295472942,0.5712224094,0.5782738507,0.420353659,0.001295472942,0.4172121637,0.424263605,0.004513985607,0,0.004513985607,0.004513985607,lhs,gaussian,student_t_df5,0.4815711268,0.9875366573,0.6947492353,0.9703388699,0.618820019,0.004513985607
LHS-01-024,5,5,0,0,0.4344824648,0.4344824648,0,0,0,371.1731206,0.7836867254,368.30389,373.0738781,-150.9599608,0.2509581275,-151.6830627,-150.3578676,0.6316130837,0,0.6316130837,0.6316130837,0.3584411528,0,0.3584411528,0.3584411528,0.009945763411,0,0.009945763411,0.009945763411,lhs,gaussian,empirical_resample,0.3148667558,0.9739627019,0.6286169651,1.026577725,0.6316130837,0.009945763411
LHS-02-001,5,5,0,0,0.4344824648,0.4344824648,0,0,0,345.3356149,0.5876734572,343.8858103,347.0694004,-105.8995146,2.188669889,-113.2937215,-100.5169597,0.7157163059,0.0002051417811,0.7150318206,0.7162087872,0.1583670051,0.0002051417811,0.1578745238,0.1590514904,0.125916689,0,0.125916689,0.125916689,lhs,student_t_df4,student_t_df5,0.1344300757,0.9126534893,0.8351531975,1.015696733,0.7552081071,0.125916689
LHS-02-002,5,5,1,0.5655175352,1,0.4344824648,1,1,0,371.5836519,0.6473882039,369.0338257,372.4743765,-190.6095488,0.5654507441,-192.2176966,-189.1978467,0.4423476296,0,0.4423476296,0.4423476296,0.5543373992,0,0.5543373992,0.5543373992,0.003314971167,0,0.003314971167,0.003314971167,lhs,student_t_df4,empirical_resample,0.1537714994,0.9279437971,0.4910909728,0.9853816232,0.4423476296,0.003314971167
