lower_bound_specification,lower_bound_Corn,lower_bound_Soybean,lower_bound_Winter_Wheat,strong_reversal_structurally_inadmissible,copula_family,kendall_tau,risk_tolerance,cvar_limit,lower_tail_dependence,solver_status,active_set,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,expected_profit,cvar_loss,idle_land,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat,possible_pairwise_reversal,universal_pairwise_reversal,possible_complete_rank_reversal,universal_complete_rank_reversal,possible_strong_reversal,universal_strong_reversal,multiple_optima,top_min_allocation,top_max_allocation,face_Winter_Wheat_over_Soybean_selected_difference,face_Winter_Wheat_over_Soybean_min_difference,face_Winter_Wheat_over_Soybean_max_difference,face_Winter_Wheat_over_Soybean_selected_reversal,face_Winter_Wheat_over_Soybean_possible_reversal,face_Winter_Wheat_over_Soybean_universal_reversal,face_Winter_Wheat_over_Soybean_possible_strong_reversal,face_Winter_Wheat_over_Soybean_universal_strong_reversal,face_Winter_Wheat_over_Corn_selected_difference,face_Winter_Wheat_over_Corn_min_difference,face_Winter_Wheat_over_Corn_max_difference,face_Winter_Wheat_over_Corn_selected_reversal,face_Winter_Wheat_over_Corn_possible_reversal,face_Winter_Wheat_over_Corn_universal_reversal,face_Winter_Wheat_over_Corn_possible_strong_reversal,face_Winter_Wheat_over_Corn_universal_strong_reversal,face_Soybean_over_Corn_selected_difference,face_Soybean_over_Corn_min_difference,face_Soybean_over_Corn_max_difference,face_Soybean_over_Corn_selected_reversal,face_Soybean_over_Corn_possible_reversal,face_Soybean_over_Corn_universal_reversal,face_Soybean_over_Corn_possible_strong_reversal,face_Soybean_over_Corn_universal_strong_reversal,active_set_transition
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.9,-62.2937147075,0,optimal,land;cvar;upper_bound,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0992746541869,0.0001,0.0001,212.937257147,-62.2937147075,0,0.250725345813,0.65,0.0992746541869,True,True,True,True,False,False,False,0.0992746043514,0.099274690651,-0.550725345813,-0.550725345813,-0.550725268989,True,True,True,False,False,-0.151450691626,-0.151450917957,-0.151450618698,True,True,True,False,False,0.399274654187,0.399274351033,0.399274690651,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,1,-61.1410571284,0,optimal,land;budget;cvar;upper_bound,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487799,0.0001,0.0001,214.645135498,-61.1410571284,0,0.27997165122,0.65,0.0700283487799,True,True,True,True,False,False,False,0.0700283487798,0.0700283855364,-0.57997165122,-0.57997165122,-0.579971605874,True,True,True,False,False,-0.20994330244,-0.209943304723,-0.209943228927,True,True,True,False,False,0.37002834878,0.370028313254,0.370028385536,False,False,False,False,False,True
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0,-37.7457700306,0,optimal,land;cvar,0,,False,False,False,,no_reversal,Winter Wheat,0.455473892791,0.0001,0.0001,178.224603098,-37.7457700306,0,0.211690883603,0.332835223606,0.455473892791,False,False,False,False,False,False,False,0.455473892791,0.455473892791,0.122638669185,0.122638669185,0.122638669185,False,False,False,False,False,0.243783009189,0.243783009189,0.243783009189,False,False,False,False,False,0.121144340004,0.121144340004,0.121144340004,False,False,False,False,False,True
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.1,-36.1425813449,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.369422746194,0.0001,0.0001,185.302652251,-36.1425813449,0,0.240259303707,0.390317950099,0.369422746194,True,True,False,False,False,False,False,0.369422698503,0.369423854445,-0.0208952039047,-0.0208963393308,-0.0208950904632,True,True,True,False,False,0.129163442487,0.129163185971,0.129167902665,False,False,False,False,False,0.150058646392,0.150058276435,0.150064241995,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.2,-34.5393926593,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.320552678485,0.0001,0.0001,189.233054116,-34.5393926593,0,0.259469535176,0.419977786338,0.320552678485,True,True,False,False,False,False,False,0.320552652505,0.320552827197,-0.099425107853,-0.09942520529,-0.0994250165542,True,True,True,False,False,0.0610831433094,0.0610829740683,0.0610836868812,False,False,False,False,False,0.160508251162,0.160507990622,0.160508892171,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.3,-32.9362039736,0,optimal,land;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.275377449028,0.0001,0.0001,192.759688995,-32.9362039736,0,0.280789507354,0.443833043618,0.275377449028,True,True,True,True,False,False,False,0.275377406985,0.275377855343,-0.168455594589,-0.16845596916,-0.168455484759,True,True,True,False,False,-0.00541205832607,-0.00541229428642,-0.0054104648091,True,True,True,False,False,0.163043536263,0.163043190472,0.163045504351,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.4,-31.3330152879,0,optimal,land;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.230939940507,0.0001,0.0001,196.161982278,-31.3330152879,0,0.303991703786,0.465068355708,0.230939940507,True,True,True,True,False,False,False,0.230939897721,0.230941259204,-0.234128415201,-0.234129774364,-0.234128303432,True,True,True,False,False,-0.0730517632792,-0.0730520034044,-0.0730464480238,True,True,True,False,False,0.161076651922,0.161076300027,0.16108332634,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.5,-29.7298266022,0,optimal,land;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.188062179561,0.0001,0.0001,199.282673069,-29.7298266022,1.11022302463e-16,0.331798604594,0.480139215845,0.188062179561,True,True,True,True,False,False,False,0.188062106612,0.188062383209,-0.292077036284,-0.292077189715,-0.292076890883,True,True,True,False,False,-0.143736425033,-0.143736789279,-0.143735660658,True,True,True,False,False,0.148340611251,0.148340101604,0.148341529057,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.6,-28.1266379165,0,optimal,land;budget;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.160026465128,0.0001,0.0001,202.163379015,-28.1266379165,0,0.321904961069,0.518068573803,0.160026465128,True,True,True,True,False,False,False,0.160026463855,0.16002667172,-0.358042108675,-0.358042264324,-0.358042061704,True,True,True,False,False,-0.161878495941,-0.161878506962,-0.161877720516,True,True,True,False,False,0.196163612734,0.196163575936,0.196164543808,False,False,False,False,False,True
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.7,-26.5234492308,0,optimal,land;budget;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.133428724753,0.0001,0.0001,204.98631392,-26.5234492308,0,0.309512131822,0.557059143425,0.133428724753,True,True,True,True,False,False,False,0.133428722488,0.133428808063,-0.423630418672,-0.423630440186,-0.423630371045,True,True,True,False,False,-0.176083407069,-0.176083419259,-0.176083135624,True,True,True,False,False,0.247547011603,0.247546974291,0.247547304562,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.8,-24.9202605452,0,optimal,land;budget;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.108171453543,0.0001,0.0001,207.666978951,-24.9202605452,0,0.297743874635,0.594084671823,0.108171453543,True,True,True,True,False,False,False,0.108171450451,0.108171523398,-0.48591321828,-0.485913224363,-0.485913170031,True,True,True,False,False,-0.189572421092,-0.189572434273,-0.189572205442,True,True,True,False,False,0.296340797188,0.296340759389,0.296341018921,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.3,0.9,-23.3170718595,0,optimal,land;budget;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0875348695036,0.0001,0.0001,209.857230175,-23.3170718595,1.11022302463e-16,0.28812855925,0.624336571247,0.0875348695036,True,True,True,True,False,False,False,0.0875348632563,0.0875349140167,-0.536801701743,-0.536801701743,-0.536801652985,True,True,True,False,False,-0.200593689746,-0.200593706323,-0.200593578236,True,True,True,False,False,0.336208011997,0.336207973799,0.336208101478,False,False,False,False,False,False
