bootstrap_replication,solver_status,first_reversal_risk_tolerance,expected_profit,cvar_loss,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,allocation_Corn,score_Corn,allocation_Soybean,score_Soybean,allocation_Winter_Wheat,score_Winter_Wheat
33,optimal,0,233.254966621,-37.188503565,2,Winter Wheat<Soybean;Corn<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.326315138206,0.0001,0.0001,0.109244610123,0.758043044089,0.564440251671,0.748009627083,0.326315138206,0.950520186026
34,optimal,0,252.676106185,-80.7212235709,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0949038452029,0.0001,0.0001,0.255096154797,0.766647149125,0.65,0.802538902033,0.0949038452029,0.955009247367
35,optimal,0,202.446792026,-57.5792302581,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.104632276051,0.0001,0.0001,0.285849267719,0.730885365371,0.60951845623,0.755324967355,0.104632276051,0.864575932212
36,optimal,0.2,200.236362895,-50.9313911354,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.2523414081,0.0001,0.0001,0.233566907792,0.749973448496,0.514091684108,0.764541831615,0.2523414081,0.904415606652
37,optimal,0,211.973337126,-90.5199903153,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.123690359786,0.0001,0.0001,0.226309640214,0.753551345477,0.65,0.790573749242,0.123690359786,0.898786212179
38,optimal,0,195.63759596,-47.8361307659,2,Winter Wheat<Soybean;Corn<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.19164112228,0.0001,0.0001,0.15835887772,0.734392634448,0.65,0.720705506543,0.19164112228,0.88259024711
39,optimal,0,211.506993781,35.0918590182,2,Winter Wheat<Soybean;Corn<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.268528282517,0.0001,0.0001,0.0814717174832,0.748350990132,0.65,0.737135295966,0.268528282517,0.889929365707
40,optimal,0,222.031000844,-69.833594805,2,Winter Wheat<Soybean;Corn<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.284120962974,0.0001,0.0001,0.194707169737,0.745081230149,0.521171867289,0.726504651188,0.284120962974,0.931239262703
41,optimal,0,205.803678356,-37.4604450217,2,Winter Wheat<Soybean;Corn<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.254836856196,0.0001,0.0001,0.214725841946,0.742674022203,0.530437301857,0.720338643042,0.254836856196,0.923665243108
42,optimal,0.1,177.544156997,-55.3013387665,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.239921573355,0.0001,0.0001,0.359130921618,0.733672111877,0.400947505026,0.709587720358,0.239921573355,0.872179073246
43,optimal,0,237.273578154,-80.3184392365,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.27997165122,0.771497607023,0.65,0.807302660532,0.0700283487798,0.915085069579
