design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-CORN-BOUND-ANCHOR-VS-BASE,allocation_l1,16,16,1.1,1.1,1.1,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-CORN-BOUND-ANCHOR-VS-BASE,expected_profit,16,16,-3.8765104277776743,-3.876510427777912,-3.8765104277774367,2.375331113855403e-13,4.750662227710806e-13,8.0,True,False,0.95,24,True,PRECISION_ACHIEVED,True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-CORN-BOUND-ANCHOR-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-BINDING_MID-VS-SLACK,allocation_l1,16,16,0.4127467768844467,0.25449306796667215,0.5710004858022213,0.15825370891777457,0.31650741783554914,0.08,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-BINDING_MID-VS-SLACK,cvar_loss,16,16,-38.13099913462709,-57.16741455453726,-19.094583714716922,19.036415419910167,38.072830839820334,12.0,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-BINDING_MID-VS-SLACK,selected_reversal_change,16,16,0.25,0.062132492985339405,0.6264729150271997,0.28217021102093015,0.5643404220418603,0.38,False,True,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-JUST_BINDING-VS-SLACK,allocation_l1,16,16,0.03798327182913035,0.023309563851227448,0.052656979807033245,0.014673707977902899,0.029347415955805797,0.08,True,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-JUST_BINDING-VS-SLACK,cvar_loss,16,16,-3.8130999134626924,-5.71674145545371,-1.9094583714716749,1.9036415419910175,3.807283083982035,12.0,True,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-JUST_BINDING-VS-SLACK,selected_reversal_change,16,16,0.25,0.062132492985339405,0.6264729150271997,0.28217021102093015,0.5643404220418603,0.38,False,True,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-STRONGLY_BINDING-VS-SLACK,allocation_l1,16,16,1.0088655085479519,0.6362371580498096,1.3814938590460941,0.3726283504981422,0.7452567009962844,0.08,False,False,0.95,27,False,CONTINUE,False
