design_id,design_sha256,experiment_id,contrast_id,replication_seed,metric,value,binary_metric,treatment_cell,control_cell,contrast_status
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221038,allocation_l1,2.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221039,allocation_l1,0.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221040,allocation_l1,2.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221041,allocation_l1,2.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221042,allocation_l1,0.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221043,allocation_l1,0.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221044,allocation_l1,2.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221045,allocation_l1,2.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221046,allocation_l1,2.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,202607221047,allocation_l1,0.0,False,E1-GAP-+0005.0,E1-GAP-+0000.0,PREREGISTERED_CONTROLLED
