design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass,evidence_status
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R1-C1-VS-BASE,allocation_l1,16,16,1.3647095761381478,1.3647095761381478,1.3647095761381478,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R1-C1-VS-BASE,expected_profit,16,16,-4.809373547988731,-4.809373547989034,-4.809373547988428,3.0293054530111634e-13,6.058610906022327e-13,8.0,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R1-C1-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-CORN-BOUND-ANCHOR-VS-BASE,allocation_l1,16,16,1.1,1.1,1.1,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-CORN-BOUND-ANCHOR-VS-BASE,expected_profit,16,16,-3.8765104277776743,-3.876510427777912,-3.8765104277774367,2.375331113855403e-13,4.750662227710806e-13,8.0,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-CORN-BOUND-ANCHOR-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-BINDING_MID-VS-SLACK,allocation_l1,64,64,0.4222099651582011,0.36127543837586046,0.4831444919405417,0.060934526782340626,0.12186905356468125,0.08,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-BINDING_MID-VS-SLACK,cvar_loss,64,64,-38.15981078457406,-45.451357032426095,-30.86826453672203,7.291546247852032,14.583092495704063,12.0,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-BINDING_MID-VS-SLACK,selected_reversal_change,64,64,0.203125,0.09113423842105967,0.39319812653408703,0.15103194405651368,0.30206388811302737,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-JUST_BINDING-VS-SLACK,allocation_l1,64,64,0.03873863933167925,0.03304313841295143,0.044434140250407074,0.005695500918727823,0.011391001837455646,0.08,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
